image_id,original,ooi,objects_disappeared,objects_other,n_distinct_objects,masked_area,total_area,height,width,p_masked,entropy,BG,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush
43,https://s3.amazonaws.com/deepangelai/results/person/4f44d283-a8b2-4fde-93ec-1438942550fd/original.jpg,person,6,0,1,136907,1494080,1160,1288,0.091632978,3.56510277,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,https://s3.amazonaws.com/deepangelai/results/person/c6d8ebc0-988e-43e0-a403-0d690e5cf89e/original.jpg,person,8,0,1,450346,1486848,1408,1056,0.302886374,5.650355662,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,https://s3.amazonaws.com/deepangelai/results/surfboard/5fb1080b-3698-45f9-b9d9-f36569c2f66d/original.jpg,surfboard,0,2,2,0,1496000,1000,1496,0,4.345441091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,https://s3.amazonaws.com/deepangelai/results/person/be51b739-a2c8-4fb2-b698-24b49b89b3b2/original.jpg,person,2,3,2,26565,640000,800,800,0.041507813,4.558592642,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,https://s3.amazonaws.com/deepangelai/results/person/790c1487-bd3c-4048-a1b9-28c9bb227aa8/original.jpg,person,1,0,1,81536,1486848,1056,1408,0.054838154,4.384528946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,https://s3.amazonaws.com/deepangelai/results/dog/ab669e58-35d0-4833-8dac-e5dcc48622f4/original.jpg,dog,1,0,1,2376,329344,496,664,0.007214341,6.211409953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,https://s3.amazonaws.com/deepangelai/results/person/22e95b38-0223-4dc9-b5f6-81ee18c656b8/original.jpg,person,1,6,4,75327,133760,440,304,0.563150419,6.208473446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
50,https://s3.amazonaws.com/deepangelai/results/cat/44122197-25c4-4205-992e-d3e94f11bcd9/original.jpg,cat,1,2,3,10385,1486848,1056,1408,0.006984574,5.444083652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,https://s3.amazonaws.com/deepangelai/results/person/34c67af0-abbf-4b00-a693-a0cc975c1e4d/original.jpg,person,3,0,1,8486,1486848,1056,1408,0.005707376,5.691469288,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,https://s3.amazonaws.com/deepangelai/results/cat/1ce1492b-ab5f-4d6c-b065-bc4c16a68fae/original.jpg,cat,0,10,5,0,1488384,912,1632,0,5.310916567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
53,https://s3.amazonaws.com/deepangelai/results/person/c8b8914b-cc21-44e0-a793-614544b0fcea/original.jpg,person,1,4,3,40610,696320,680,1024,0.058320887,5.523198701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,https://s3.amazonaws.com/deepangelai/results/person/5673acf0-9b0b-478c-b763-553912c42fe9/original.jpg,person,1,2,3,4698,132608,296,448,0.035427727,7.305371613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,https://s3.amazonaws.com/deepangelai/results/traffic%20light/5d7bc0be-2b7b-49ac-bc45-f7d228b48ec7/original.jpg,traffic%20light,0,0,0,0,249664,376,664,0,5.352002691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,https://s3.amazonaws.com/deepangelai/results/person/ad04a9c3-c3d4-498e-a2bc-5f846a6aca8e/original.jpg,person,11,1,2,171071,1486848,1056,1408,0.115056146,6.86315159,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
