image_id,original,angel,object,rating
83,https://s3.amazonaws.com/deepangelai/results/cat/c1fc33b5-1ddc-402f-9fdf-b33f53c7daba/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/c1fc33b5-1ddc-402f-9fdf-b33f53c7daba/box/_100.jpg,cat,4
84,https://s3.amazonaws.com/deepangelai/results/person/f30fd515-17b5-47e0-ba3a-bc82b407ac6c/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/f30fd515-17b5-47e0-ba3a-bc82b407ac6c/box/_100.jpg,person,2
85,https://s3.amazonaws.com/deepangelai/results/person/fc457c9f-dfdc-4163-9e2e-9a58f6838488/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/fc457c9f-dfdc-4163-9e2e-9a58f6838488/box/_100.jpg,person,5
86,https://s3.amazonaws.com/deepangelai/results/traffic%20light/9c192d9d-7dc0-4539-81ff-85d29887b6b2/original.jpg,https://s3.amazonaws.com/deepangelai/results/traffic%20light/9c192d9d-7dc0-4539-81ff-85d29887b6b2/box/_100.jpg,traffic%20light,4
87,https://s3.amazonaws.com/deepangelai/results/person/5027792f-bf6e-4da3-8d7a-afca4874701b/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/5027792f-bf6e-4da3-8d7a-afca4874701b/box/_100.jpg,person,2
88,https://s3.amazonaws.com/deepangelai/results/person/039448c3-6f31-477e-96ee-abfdd1d02fd9/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/039448c3-6f31-477e-96ee-abfdd1d02fd9/box/_100.jpg,person,4
89,https://s3.amazonaws.com/deepangelai/results/car/9427561e-ab4e-4149-8ce1-fa747f012f1e/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/9427561e-ab4e-4149-8ce1-fa747f012f1e/box/_100.jpg,car,9
90,https://s3.amazonaws.com/deepangelai/results/boat/1116dafc-a97f-42b8-a7f6-d9afca7845af/original.jpg,https://s3.amazonaws.com/deepangelai/results/boat/1116dafc-a97f-42b8-a7f6-d9afca7845af/box/_100.jpg,boat,3
91,https://s3.amazonaws.com/deepangelai/results/person/a87f36ad-a989-4cba-96de-57b1a09c92c7/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/a87f36ad-a989-4cba-96de-57b1a09c92c7/box/_100.jpg,person,2
92,https://s3.amazonaws.com/deepangelai/results/person/66875de0-33ca-46bb-9c86-a51900bec97e/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/66875de0-33ca-46bb-9c86-a51900bec97e/box/_100.jpg,person,3
93,https://s3.amazonaws.com/deepangelai/results/person/55dae7ea-16bd-4145-b35f-9ec9a662137b/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/55dae7ea-16bd-4145-b35f-9ec9a662137b/box/_100.jpg,person,4
94,https://s3.amazonaws.com/deepangelai/results/person/21fc5c8d-fc40-4c84-9106-5bb8bba274fa/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/21fc5c8d-fc40-4c84-9106-5bb8bba274fa/box/_100.jpg,person,3
95,https://s3.amazonaws.com/deepangelai/results/person/93602517-3594-463d-867d-2f34d48bcb32/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/93602517-3594-463d-867d-2f34d48bcb32/box/_100.jpg,person,3
